"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","fractionOfRawDataInFinal_seqs"
"134","Pa-Se-07_2.fastq.gz",3719,3673,3673,3673,0.98763108362463
"135","Pa-Se-08_1.fastq.gz",9265,9206,9206,9206,0.993631948192121
"136","Pa-Se-08_2.fastq.gz",9265,9206,9206,9206,0.993631948192121
"137","Pa-Se-10_1.fastq.gz",3985,3946,3946,3946,0.990213299874529
"138","Pa-Se-10_2.fastq.gz",3985,3946,3946,3946,0.990213299874529
"139","Pa-Se-11_1.fastq.gz",519,509,509,509,0.980732177263969
"140","Pa-Se-11_2.fastq.gz",519,509,509,509,0.980732177263969
"141","Pa-Se-12_1.fastq.gz",612,585,585,585,0.955882352941177
"142","Pa-Se-12_2.fastq.gz",612,585,585,585,0.955882352941177
"143","Pa-SI-01_1.fastq.gz",6999,6954,6954,6954,0.993570510072868
"144","Pa-SI-01_2.fastq.gz",6999,6954,6954,6954,0.993570510072868
"145","Pa-SI-02_1.fastq.gz",1308,1294,1294,1294,0.989296636085627
"146","Pa-SI-02_2.fastq.gz",1308,1294,1294,1294,0.989296636085627
"147","Pa-SI-03_1.fastq.gz",6285,6244,6244,6244,0.993476531424025
"148","Pa-SI-03_2.fastq.gz",6285,6244,6244,6244,0.993476531424025
"149","Pa-SI-04_1.fastq.gz",4746,4726,4726,4726,0.995785924989465
"150","Pa-SI-04_2.fastq.gz",4746,4726,4726,4726,0.995785924989465
"151","Pa-SI-05_1.fastq.gz",11859,11788,11788,11788,0.994012985917868
"152","Pa-SI-05_2.fastq.gz",11859,11788,11788,11788,0.994012985917868
"153","Pa-SI-06_1.fastq.gz",12689,12620,12620,12620,0.994562219245015
"154","Pa-SI-06_2.fastq.gz",12689,12620,12620,12620,0.994562219245015
"155","Pa-SI-07_1.fastq.gz",12736,12658,12658,12658,0.993875628140704
"156","Pa-SI-07_2.fastq.gz",12736,12658,12658,12658,0.993875628140704
"157","Pa-SI-08_1.fastq.gz",92,83,83,83,0.902173913043478
"158","Pa-SI-08_2.fastq.gz",92,83,83,83,0.902173913043478
"159","Pa-SI-09_1.fastq.gz",10602,10556,10556,10556,0.995661196000755
"160","Pa-SI-09_2.fastq.gz",10602,10556,10556,10556,0.995661196000755
"161","Pa-SI-10_1.fastq.gz",8636,8599,8599,8599,0.995715609078277
"162","Pa-SI-10_2.fastq.gz",8636,8599,8599,8599,0.995715609078277
"163","Pa-SI-11_1.fastq.gz",12148,12094,12094,12094,0.995554823839315
"164","Pa-SI-11_2.fastq.gz",12148,12094,12094,12094,0.995554823839315
"165","Pa-SI-12_1.fastq.gz",5947,5912,5912,5912,0.994114679670422
"166","Pa-SI-12_2.fastq.gz",5947,5912,5912,5912,0.994114679670422
"167","Pa-SI-13_1.fastq.gz",3244,3215,3215,3215,0.991060419235512
"168","Pa-SI-13_2.fastq.gz",3244,3215,3215,3215,0.991060419235512
"169","Pa-SI-14_1.fastq.gz",6089,6059,6059,6059,0.995073082607982
"170","Pa-SI-14_2.fastq.gz",6089,6059,6059,6059,0.995073082607982
"171","Pa-SI-15_1.fastq.gz",3779,3732,3732,3732,0.987562847314104
"172","Pa-SI-15_2.fastq.gz",3779,3732,3732,3732,0.987562847314104
"173","Pa-SI-16_1.fastq.gz",402,395,395,395,0.982587064676617
"174","Pa-SI-16_2.fastq.gz",402,395,395,395,0.982587064676617
"175","Pa-SI-17_1.fastq.gz",1355,1340,1340,1340,0.988929889298893
"176","Pa-SI-17_2.fastq.gz",1355,1340,1340,1340,0.988929889298893
"177","Pa-SI-18_1.fastq.gz",4210,4170,4170,4170,0.990498812351544
"178","Pa-SI-18_2.fastq.gz",4210,4170,4170,4170,0.990498812351544
"179","Pa-SI-19_1.fastq.gz",7042,6998,6998,6998,0.993751775063902
"180","Pa-SI-19_2.fastq.gz",7042,6998,6998,6998,0.993751775063902
