,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
106,Se-Po-19_1.fastq.gz,73126,73052,73052,73052,0.998988048,73052,64826,56020,0.11260472,56020,56020,56020,56020,56020,55702,55702,0.761726335
107,Se-Po-20_1.fastq.gz,59723,59645,59645,59645,0.99869397,59645,52360,45913,0.122139324,45913,45913,45913,45913,45913,45798,45798,0.766840246
108,SIS-Po-01_1.fastq.gz,44512,44458,44458,44458,0.998786844,44458,38462,38462,0.134868865,38462,38462,38462,38462,38462,38462,38462,0.864081596
109,SIS-Po-02_1.fastq.gz,48269,48214,48214,48214,0.998860552,48214,41943,41943,0.130065956,41943,41943,41943,41943,41943,41840,41840,0.866808925
110,SIS-Po-03_1.fastq.gz,70820,70748,70748,70748,0.998983338,70748,61750,61750,0.127183807,61750,61750,61750,61750,61750,61747,61747,0.871886473
111,SIS-Po-04_1.fastq.gz,12408,12382,12382,12382,0.997904578,12382,10580,10445,0.145533839,10445,10445,10445,10445,10445,10310,10310,0.830915538
112,SIS-Po-05_1.fastq.gz,33312,33255,33255,33255,0.998288905,33255,28173,28167,0.152819125,28167,28167,28167,28167,28167,28160,28160,0.845341018
113,SIS-Po-06_1.fastq.gz,48336,48276,48276,48276,0.998758689,48276,41615,41615,0.137977463,41615,41615,41615,41615,41615,41615,41615,0.860952499
114,SIS-Po-07_1.fastq.gz,39381,39341,39341,39341,0.998984282,39341,34139,34139,0.132228464,34139,34139,34139,34139,34139,34139,34139,0.866890125
115,SIS-Po-08_1.fastq.gz,687,659,659,659,0.959243086,659,542,542,0.17754173,542,542,542,542,542,264,264,0.384279476
116,SIS-Po-09_1.fastq.gz,62751,62677,62677,62677,0.998820736,62677,55155,55155,0.120012126,55155,55155,55155,55138,55138,24681,24681,0.393316441
